Event,Date,Country,Rank,Name,Team,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,lap9,Time,Gap,Points
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,2,ISERBYT Eli,PAUWELS SAUZEN - BINGOAL,7:28,7:35,7:22,7:17,7:13,7:14,7:15,7:21,,58:56,,40
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,2,SWEECK Laurens,CRELAN-CORENDON,7:28,7:30,7:27,7:23,7:20,7:14,7:19,7:20,,59:13,+17,30
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,3,VANTHOURENHOUT Michael,PAUWELS SAUZEN - BINGOAL,7:28,7:36,7:22,7:23,7:21,7:14,7:19,7:31,,59:24,+28,25
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,4,WYSEURE Joran,CRELAN-CORENDON,7:32,7:37,7:19,7:21,7:24,7:20,7:20,7:26,,59:30,+34,22
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,5,VANDEPUTTE Niels,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,7:28,7:41,7:18,7:22,7:21,7:24,7:23,7:33,,59:40,+44,21
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,6,VAN DER HAAR Lars,BALOISE TREK LIONS,7:32,7:33,7:21,7:23,7:24,7:24,7:30,7:32,,59:50,+54,20
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,7,RONHAAR Pim,BALOISE TREK LIONS,7:42,7:31,7:22,7:26,7:28,7:31,7:30,7:24,,1:00:07,+1:11,19
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,8,AERTS Toon,DESCHACHT- HENS-FSP,7:56,7:30,7:29,7:30,7:23,7:28,7:19,7:22,,1:00:11,+1:15,18
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,9,ORTS LLORET Felipe,RIDLEY RACING TEAM,7:36,7:42,7:23,7:28,7:52,7:24,7:17,7:23,,1:00:18,+1:22,17
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,10,KUHN Kevin,CHARLES LIÉGEOIS ROASTERY CX,7:31,7:37,7:28,7:40,7:30,7:33,7:28,7:27,,1:00:25,+1:29,16
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,11,KUYPERS Gerben,CHARLES LIÉGEOIS ROASTERY CX,7:58,7:31,7:34,7:24,7:22,7:25,7:27,7:34,,1:00:28,+1:32,15
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,12,NYS Thibau,BALOISE TREK LIONS,7:34,7:34,7:27,7:29,7:27,7:29,7:30,7:38,,1:00:48,+1:52,14
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,13,KAMP Ryan,,7:42,7:36,7:30,7:32,7:27,7:32,7:34,7:33,,1:00:37,+1:41,13
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,14,ADAMS Jens,,7:43,7:39,7:30,7:33,7:29,7:30,7:36,7:29,,1:00:40,+1:44,12
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,15,BOROŠ Michael,ELKOV - KASPER,7:47,7:36,7:31,7:31,7:30,7:29,7:36,7:31,,1:00:42,+1:46,11
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,16,MICHELS Jente,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,7:50,7:34,7:29,7:29,7:24,7:31,7:43,7:31,,1:00:44,+1:48,10
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,17,HENDRIKX Mees,HEIZOMAT RADTEAM P/B HERRMANN,7:39,7:39,7:32,7:33,7:32,7:32,7:40,7:42,,1:00:59,+2:03,9
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,18,VANDEBOSCH Toon,CRELAN-CORENDON,7:42,7:36,7:29,7:37,7:38,7:38,7:38,7:45,,1:01:14,+2:18,8
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,19,VAN KESSEL Corne,DESCHACHT- HENS-FSP,7:29,7:42,7:25,7:35,7:34,7:49,7:48,7:58,,1:01:32,+2:36,7
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,20,VAN DE PUTTE Victor,DESCHACHT- HENS-FSP,7:49,7:38,7:38,7:42,7:39,7:42,7:44,7:36,,1:01:38,+2:42,6
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,21,CORSUS Yordi,PAUWELS SAUZEN - BINGOAL,8:05,7:33,7:45,7:53,7:33,7:35,7:32,7:35,,1:01:43,+2:47,5
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,22,SUAREZ FERNANDEZ Kevin,NESTA - MMR CYCLING TEAM,7:45,7:37,7:41,7:44,7:34,8:04,7:40,7:34,,1:01:50,+2:54,4
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,23,MEIN Thomas,HOPE FACTORY RACING,7:46,7:33,7:41,7:34,7:43,7:40,7:56,8:01,,1:02:06,+3:10,3
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,24,HAVERDINGS David,BALOISE TREK LIONS,8:23,7:39,7:38,7:39,7:34,7:44,7:43,7:40,,1:02:12,+3:16,2
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,25,MASON Cameron,CYCLOCROSS REDS,7:45,7:36,7:47,7:41,7:41,7:44,8:07,7:50,,1:02:22,+3:26,1
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,26,VAN DEN EIJNDEN Guus,CYCLOCROSS REDS,7:58,7:36,7:41,8:01,7:37,7:44,7:48,7:51,,1:02:29,+3:33,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,27,VAN LIEROP Danny,,7:59,7:59,7:46,7:44,7:43,7:42,7:47,7:49,,1:02:42,+3:46,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,28,MEISEN Marcel,,8:12,7:54,7:52,7:47,7:38,7:44,7:48,7:51,,1:02:58,+4:02,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,29,FIALA Matyáš,ATT INVESTMENTS,8:25,7:46,7:47,7:42,7:51,7:48,7:57,8:01,,1:03:29,+4:33,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,30,VIEZZI Stefano,,8:28,7:51,7:56,7:55,7:53,7:52,7:53,7:46,,1:03:47,+4:51,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,31,MEEUSSEN Witse,CRELAN-CORENDON,9:16,7:45,7:51,7:54,7:47,7:53,7:47,7:36,,1:04:01,+5:05,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,32,CEOLIN Federico,,8:04,7:49,7:54,7:51,7:52,7:50,8:21,8:16,,1:04:10,+5:14,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,33,BOMMENEL Nathan,AS BIKE RACING,8:06,7:47,7:55,7:51,8:20,7:58,8:12,7:53,,1:04:14,+5:18,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,34,SOLEN Keije,CHARLES LIÉGEOIS ROASTERY CX,8:24,8:16,7:57,7:57,7:52,7:52,7:55,7:50,,1:04:15,+5:19,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,35,DEGENKOLB Hannes,HEIZOMAT RADTEAM P/B HERRMANN,8:05,7:53,7:54,7:50,8:11,8:07,8:07,8:08,,1:04:27,+5:31,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,36,JUNQUERA SAN MILLAN Mario,UNICAJA - GIJON,8:24,7:49,8:00,7:51,7:58,8:19,8:01,8:01,,1:04:37,+5:41,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,37,SOMMER Lars,HEIZOMAT RADTEAM P/B HERRMANN,8:02,7:57,7:54,8:00,8:07,8:12,8:08,8:13,,1:04:44,+5:48,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,38,KUSCHLA Silas,,8:30,8:04,8:07,8:13,8:08,8:08,8:09,8:05,,1:05:37,+6:41,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,39,FOLCARELLI Antonio,,8:27,8:05,8:07,8:06,8:01,8:10,8:11,8:35,,1:05:56,+7:00,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,40,OERTZEN Max Heiner,PETER PANE NAGEL CX TEAM,8:46,8:27,7:59,8:03,8:03,8:04,8:17,8:29,,1:06:20,+7:24,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,41,MARASCO Lorenzo,SEBMOTOBIKES CX TEAM,8:31,8:03,8:28,8:16,8:13,8:09,8:06,8:36,,1:06:34,+7:38,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,42,BARD Nicolas,,8:29,8:02,8:15,8:15,8:13,8:20,8:21,8:32,,1:06:40,+7:44,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,43,HARTER Luca,PETER PANE NAGEL CX TEAM,8:32,8:06,8:02,8:26,8:24,8:24,8:24,,,,,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,44,BERTOLINI Gioele,FAS AIRPORT SERVICES - GUERCIOTTI,8:40,8:06,8:06,8:17,8:16,8:23,,,,,,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,45,HERRMANN Lukas,HEIZOMAT RADTEAM P/B HERRMANN,8:33,8:03,8:10,9:34,8:25,,,,,,,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,46,VARI Simone,,8:43,8:19,8:26,8:35,8:36,,,,,,,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,47,BEHRENS Eike,,8:25,8:32,8:32,8:53,,,,,,,,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,48,KING Carden,,8:55,8:31,8:27,8:42,,,,,,,,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,49,OBERTEICHER Matteo,PETER PANE NAGEL CX TEAM,8:49,8:27,8:38,8:44,,,,,,,,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,50,REINOSO SANCHEZ Emilio,UNICAJA - GIJON,8:46,8:41,8:36,8:52,,,,,,,,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,51,GUERIN Morgan,,8:56,8:58,8:55,,,,,,,,,0
UCI Cyclo-Cross World Cup #1 - Antwerp,24 November 2024,BEL,DNF,BARNES Toby,,8:53,8:07,8:07,8:10,,,,,,,,0
UCI Cyclo-Cross World Cup #2 - Dublin,1 December 2024,IRL,1,VANTHOURENHOUT Michael,PAUWELS SAUZEN - BINGOAL,7:10,7:03,7:07,7:22,7:03,7:11,7:11,7:07,,57:26,,40
UCI Cyclo-Cross World Cup #2 - Dublin,1 December 2024,IRL,2,AERTS Toon,DESCHACHT- HENS-FSP,7:14,7:06,7:01,7:21,7:06,7:06,7:12,7:08,,57:27,+1,30
UCI Cyclo-Cross World Cup #2 - Dublin,1 December 2024,IRL,3,ORTS LLORET Felipe,RIDLEY RACING TEAM,7:10,7:06,7:04,7:24,7:06,7:10,7:10,7:06,,57:27,+1,25
UCI Cyclo-Cross World Cup #2 - Dublin,1 December 2024,IRL,4,ISERBYT Eli,PAUWELS SAUZEN - BINGOAL,7:11,7:09,7:00,7:22,7:05,7:12,7:07,7:10,,57:28,+2,22
UCI Cyclo-Cross World Cup #2 - Dublin,1 December 2024,IRL,5,WYSEURE Joran,CRELAN-CORENDON,7:11,7:02,7:06,7:24,7:02,7:12,7:10,7:16,,57:35,+9,21
UCI Cyclo-Cross World Cup #2 - Dublin,1 December 2024,IRL,6,RONHAAR Pim,BALOISE TREK LIONS,7:10,7:03,7:06,7:22,7:03,7:10,7:13,7:18,,57:38,+12,20
