,rider,team,points
0,Tadej  Pogačar ,UAE Team Emirates,5131
1,Wout van Aert ,Jumbo-Visma,4525
2,Remco  Evenepoel ,Quick-Step Alpha Vinyl Team,4402.5
3,Jonas  Vingegaard ,Jumbo-Visma,3154
4,Aleksandr  Vlasov ,BORA - hansgrohe,2484
5,Arnaud De Lie ,Lotto Soudal,2268
6,Stefan  Küng ,Groupama - FDJ,2180
7,Alexander  Kristoff ,Intermarché - Wanty - Gobert Matériaux,2099
8,Mathieu van der Poel ,Alpecin - Deceuninck,2003.7
9,Alejandro  Valverde ,Movistar Team,1996
10,Michael  Matthews ,Team BikeExchange - Jayco,1995.7
11,Sergio  Higuita ,BORA - hansgrohe,1992
12,Christophe  Laporte ,Jumbo-Visma,1968
13,Arnaud  Démare ,Groupama - FDJ,1931
14,Daniel Felipe  Martínez ,INEOS Grenadiers,1920
15,Biniam  Girmay ,Intermarché - Wanty - Gobert Matériaux,1875
16,Pello  Bilbao ,Bahrain - Victorious,1856
17,Benoît  Cosnefroy ,AG2R Citroën Team,1781
18,Enric  Mas ,Movistar Team,1772
19,Mads  Pedersen ,Trek - Segafredo,1753
20,Richard  Carapaz ,INEOS Grenadiers,1706
21,Jasper  Philipsen ,Alpecin - Deceuninck,1702
22,Jai  Hindley ,BORA - hansgrohe,1643
23,Primož  Roglič ,Jumbo-Visma,1620.5
24,Juan  Ayuso ,UAE Team Emirates,1605.5
25,Adam  Yates ,INEOS Grenadiers,1590
26,Tim  Merlier ,Alpecin - Deceuninck,1533
27,Matej  Mohorič ,Bahrain - Victorious,1494
28,Carlos  Rodríguez ,INEOS Grenadiers,1448
29,Mikel  Landa ,Bahrain - Victorious,1350
30,Geraint  Thomas ,INEOS Grenadiers,1329
31,Dylan  Teuns ,Israel - Premier Tech,1281
32,Thymen  Arensman ,Team DSM,1271
33,Valentin  Madouas ,Groupama - FDJ,1271
34,Guillaume  Martin ,Cofidis,1268
35,Dylan  Groenewegen ,Team BikeExchange - Jayco,1255
36,Hugo  Hofstetter ,Team Arkéa Samsic,1217
37,Simon  Yates ,Team BikeExchange - Jayco,1204.5
38,Ben  O'Connor ,AG2R Citroën Team,1203
39,João  Almeida ,UAE Team Emirates,1202.5
40,Ethan  Hayter ,INEOS Grenadiers,1193
41,Warren  Barguil ,Team Arkéa Samsic,1181
42,Dylan van Baarle ,INEOS Grenadiers,1166
43,David  Gaudu ,Groupama - FDJ,1157
44,Matteo  Trentin ,UAE Team Emirates,1153
45,Dries Van Gestel ,TotalEnergies,1143
46,Fabio  Jakobsen ,Quick-Step Alpha Vinyl Team,1128
47,Lorenzo  Rota ,Intermarché - Wanty - Gobert Matériaux,1121
48,Romain  Bardet ,Team DSM,1113
49,Neilson  Powless ,EF Education - EasyPost,1079
50,Mattias  Skjelmose ,Trek - Segafredo,1078
51,Olav  Kooij ,Jumbo-Visma,1073
52,Louis  Meintjes ,Intermarché - Wanty - Gobert Matériaux,1048
53,Tiesj  Benoot ,Jumbo-Visma,1047
54,Quinten  Hermans ,Intermarché - Wanty - Gobert Matériaux,1007
55,Sam  Bennett ,BORA - hansgrohe,976
56,Diego  Ulissi ,UAE Team Emirates,974
57,Iván  García Cortina ,Movistar Team,944
58,Axel  Zingle ,Cofidis,935
59,Marc  Hirschi ,UAE Team Emirates,931
60,Miguel Ángel  López ,,883
61,Brandon  McNulty ,UAE Team Emirates,880.5
62,Nairo  Quintana ,Team Arkéa Samsic,880
63,Julien  Simon ,TotalEnergies,880
64,Jesús  Herrada ,Cofidis,874
