    ,rider                        ,team                                    ,points2023
  0 ,Tadej  Pogačar               ,UAE Team Emirates                       ,    7685.9
  1 ,Jonas  Vingegaard            ,Jumbo-Visma                             ,    6304.1
  2 ,Remco  Evenepoel             ,Soudal Quick-Step                       ,    5631.7
  3 ,Primož  Roglič               ,Jumbo-Visma                             ,    5603.4
  4 ,Wout van Aert                ,Jumbo-Visma                             ,    4762
  5 ,Mads  Pedersen               ,Lidl - Trek                             ,    4606.1
  6 ,Mathieu van der Poel         ,Alpecin - Deceuninck                    ,    4163
  7 ,Adam  Yates                  ,UAE Team Emirates                       ,    4007.9
  8 ,Jasper  Philipsen            ,Alpecin - Deceuninck                    ,    3912
  9 ,João  Almeida                ,UAE Team Emirates                       ,    3110.6
 10 ,Simon  Yates                 ,Team Jayco AlUla                        ,    3087.3
 11 ,Marc  Hirschi                ,UAE Team Emirates                       ,    2997
 12 ,Mattias  Skjelmose           ,Lidl - Trek                             ,    2908.1
 13 ,Arnaud De Lie                ,Lotto Dstny                             ,    2891
 14 ,Filippo  Ganna               ,INEOS Grenadiers                        ,    2877
 15 ,Sepp  Kuss                   ,Jumbo-Visma                             ,    2615.5
 16 ,Pello  Bilbao                ,Bahrain - Victorious                    ,    2432.1
 17 ,Christophe  Laporte          ,Jumbo-Visma                             ,    2311
 18 ,Mikel  Landa                 ,Bahrain - Victorious                    ,    2283.6
 19 ,Matej  Mohorič               ,Bahrain - Victorious                    ,    2230
 20 ,Thibaut  Pinot               ,Groupama - FDJ                          ,    2207
 21 ,Ben  Healy                   ,EF Education - EasyPost                 ,    2163
 22 ,Stefan  Küng                 ,Groupama - FDJ                          ,    2065.6
 23 ,Kaden  Groves                ,Alpecin - Deceuninck                    ,    2043.2
 24 ,Neilson  Powless             ,EF Education - EasyPost                 ,    2042.7
 25 ,Aleksandr  Vlasov            ,BORA - hansgrohe                        ,    2040.6
 26 ,Valentin  Madouas            ,Groupama - FDJ                          ,    2024
 27 ,Thomas  Pidcock              ,INEOS Grenadiers                        ,    1989
 28 ,Juan  Ayuso                  ,UAE Team Emirates                       ,    1943.6
 29 ,Olav  Kooij                  ,Jumbo-Visma                             ,    1907.6
 30 ,Geraint  Thomas              ,INEOS Grenadiers                        ,    1838
 31 ,Tiesj  Benoot                ,Jumbo-Visma                             ,    1773
 32 ,Felix  Gall                  ,AG2R Citroën Team                       ,    1741
 33 ,Andrea  Bagioli              ,Soudal Quick-Step                       ,    1680
 34 ,Matteo  Jorgenson            ,Movistar Team                           ,    1665
 35 ,Guillaume  Martin            ,Cofidis                                 ,    1657
 36 ,Jai  Hindley                 ,BORA - hansgrohe                        ,    1652
 37 ,Rui  Costa                   ,Intermarché - Circus - Wanty            ,    1634.9
 38 ,Carlos  Rodríguez            ,INEOS Grenadiers                        ,    1618
 39 ,David  Gaudu                 ,Groupama - FDJ                          ,    1597.6
 40 ,Giulio  Ciccone              ,Lidl - Trek                             ,    1597
 41 ,Damiano  Caruso              ,Bahrain - Victorious                    ,    1563.3
 42 ,Alex  Aranburu               ,Movistar Team                           ,    1548
 43 ,Florian  Vermeersch          ,Lotto Dstny                             ,    1547
 44 ,Santiago  Buitrago           ,Bahrain - Victorious                    ,    1526.3
 45 ,Alexey  Lutsenko             ,Astana Qazaqstan Team                   ,    1485.3
 46 ,Michael  Woods               ,Israel - Premier Tech                   ,    1478
 47 ,Andreas  Kron                ,Lotto Dstny                             ,    1477.2
 48 ,Michael  Matthews            ,Team Jayco AlUla                        ,    1450.3
 49 ,Enric  Mas                   ,Movistar Team                           ,    1450.2
 50 ,Romain  Bardet               ,Team dsm - firmenich                    ,    1446.5
 51 ,Brandon  McNulty             ,UAE Team Emirates                       ,    1407.4
 52 ,Ben  O'Connor                ,AG2R Citroën Team                       ,    1397
 53 ,Ilan Van Wilder              ,Soudal Quick-Step                       ,    1364
 54 ,Ion  Izagirre                ,Cofidis                                 ,    1340
 55 ,Dylan  Groenewegen           ,Team Jayco AlUla                        ,    1329.4
 56 ,Pavel  Sivakov               ,INEOS Grenadiers                        ,    1299.3
 57 ,Axel  Zingle                 ,Cofidis                                 ,    1284
 58 ,Toms  Skujiņš                ,Lidl - Trek                             ,    1275
 59 ,Gerben  Thijssen             ,Intermarché - Circus - Wanty            ,    1210
 60 ,Jordi  Meeus                 ,BORA - hansgrohe                        ,    1204
 61 ,Tobias Halland  Johannessen  ,Uno-X Pro Cycling Team                  ,    1187
 62 ,Corbin  Strong               ,Israel - Premier Tech                   ,    1184
 63 ,Lennard  Kämna               ,BORA - hansgrohe                        ,    1182.6
 64 ,Bryan  Coquard               ,Cofidis                                 ,    1180.1
 65 ,Søren Kragh Andersen         ,Alpecin - Deceuninck                    ,    1173
 66 ,Derek  Gee                   ,Israel - Premier Tech                   ,    1156
 67 ,Maxim Van Gils               ,Lotto Dstny                             ,    1150
 68 ,Alexander  Kristoff          ,Uno-X Pro Cycling Team                  ,    1149
 69 ,Rasmus  Tiller               ,Uno-X Pro Cycling Team                  ,    1138
 70 ,Jasper  Stuyven              ,Lidl - Trek                             ,    1136
 71 ,Romain  Grégoire             ,Groupama - FDJ                          ,    1125.5
 72 ,Tim  Merlier                 ,Soudal Quick-Step                       ,    1125.4
 73 ,Einer  Rubio                 ,Movistar Team                           ,    1124.4
 74 ,Tao  Geoghegan Hart          ,INEOS Grenadiers                        ,    1123
 75 ,Arnaud  Démare               ,Team Arkéa Samsic                       ,    1106.6
 76 ,Jonathan  Milan              ,Bahrain - Victorious                    ,    1100.7
 77 ,Yves  Lampaert               ,Soudal Quick-Step                       ,    1065.7
 78 ,Wout  Poels                  ,Bahrain - Victorious                    ,    1038.5
 79 ,Danny van Poppel             ,BORA - hansgrohe                        ,    1028
 80 ,Richard  Carapaz             ,EF Education - EasyPost                 ,    1014
 81 ,Milan  Menten                ,Lotto Dstny                             ,     996.2
 82 ,Sam  Welsford                ,Team dsm - firmenich                    ,     991.1
 83 ,Cian  Uijtdebroeks           ,BORA - hansgrohe                        ,     984.1
 84 ,Lorenzo  Rota                ,Intermarché - Circus - Wanty            ,     984
 85 ,Juan Sebastián  Molano       ,UAE Team Emirates                       ,     977.5
 86 ,Caleb  Ewan                  ,Lotto Dstny                             ,     965
 87 ,Julian  Alaphilippe          ,Soudal Quick-Step                       ,     938
 88 ,Kasper  Asgreen              ,Soudal Quick-Step                       ,     930.7
 89 ,Tim  Wellens                 ,UAE Team Emirates                       ,     917.9
 90 ,Jay  Vine                    ,UAE Team Emirates                       ,     917.5
 91 ,Matteo  Trentin              ,UAE Team Emirates                       ,     912.9
 92 ,Simone  Velasco              ,Astana Qazaqstan Team                   ,     907
 93 ,Filippo  Zana                ,Team Jayco AlUla                        ,     889
 94 ,Victor  Lafay                ,Cofidis                                 ,     887
 95 ,Mauro  Schmid                ,Soudal Quick-Step                       ,     884.7
 96 ,Mathieu  Burgaudeau          ,TotalEnergies                           ,     878
 97 ,Jesús  Herrada               ,Cofidis                                 ,     877.8
 98 ,Lenny  Martinez              ,Groupama - FDJ                          ,     875.5
 99 ,Søren  Wærenskjold           ,Uno-X Pro Cycling Team                  ,     872
100 ,Felix  Großschartner         ,UAE Team Emirates                       ,     867.9
101 ,Diego  Ulissi                ,UAE Team Emirates                       ,     864
102 ,Mark  Cavendish              ,Astana Qazaqstan Team                   ,     856.3
103 ,Georg  Zimmermann            ,Intermarché - Circus - Wanty            ,     852
104 ,Jasper De Buyst              ,Lotto Dstny                             ,     849
105 ,Paul  Penhoët                ,Groupama - FDJ                          ,     847
106 ,Henok  Mulubrhan             ,Green Project - Bardiani CSF - Faizanè  ,     844.8
107 ,Magnus  Sheffield            ,INEOS Grenadiers                        ,     839
108 ,Edward  Theuns               ,Lidl - Trek                             ,     818
109 ,Marijn van den Berg          ,EF Education - EasyPost                 ,     801.2
110 ,Eddie  Dunbar                ,Team Jayco AlUla                        ,     798
111 ,Attila  Valter               ,Jumbo-Visma                             ,     794.4
112 ,Biniam  Girmay               ,Intermarché - Circus - Wanty            ,     793
113 ,Warren  Barguil              ,Team Arkéa Samsic                       ,     786
114 ,Michał  Kwiatkowski          ,INEOS Grenadiers                        ,     772.3
115 ,Luca  Mozzato                ,Team Arkéa Samsic                       ,     767
116 ,Orluis  Aular                ,Caja Rural - Seguros RGA                ,     752
117 ,Mike  Teunissen              ,Intermarché - Circus - Wanty            ,     751
118 ,Matteo  Moschetti            ,Q36.5 Pro Cycling Team                  ,     748
119 ,Oier  Lazkano                ,Movistar Team                           ,     745.4
120 ,Iván  García Cortina         ,Movistar Team                           ,     741.4
121 ,Davide  Formolo              ,UAE Team Emirates                       ,     739
122 ,Joshua  Tarling              ,INEOS Grenadiers                        ,     726.2
123 ,Rémi  Cavagna                ,Soudal Quick-Step                       ,     718.3
124 ,Lennert Van Eetvelt          ,Lotto Dstny                             ,     713.2
125 ,Vincenzo  Albanese           ,EOLO-Kometa                             ,     708
126 ,Hugh  Carthy                 ,EF Education - EasyPost                 ,     703.9
127 ,Alberto  Dainese             ,Team dsm - firmenich                    ,     702.5
128 ,Mikkel  Bjerg                ,UAE Team Emirates                       ,     701.3
129 ,Marc  Soler                  ,UAE Team Emirates                       ,     701
130 ,Andrea  Vendrame             ,AG2R Citroën Team                       ,     697
131 ,Fabio  Jakobsen              ,Soudal Quick-Step                       ,     688
132 ,Arvid de Kleijn              ,Tudor Pro Cycling Team                  ,     680
133 ,Alexander  Kamp              ,Tudor Pro Cycling Team                  ,     679
134 ,Jack  Haig                   ,Bahrain - Victorious                    ,     674.7
135 ,Magnus  Cort                 ,EF Education - EasyPost                 ,     671.7
136 ,Pascal  Ackermann            ,UAE Team Emirates                       ,     670
137 ,Andreas  Leknessund          ,Team dsm - firmenich                    ,     668.1
