,fullname,team,birthdate,country,height,weight,Onedayraces,GC,Sprint,Climber,TT,Hills,UCI-Rank,rider_url
0,Mathieu van der Poel,Alpecin - Deceuninck,19 January 1995,Netherlands,1.84,75.0,6991,1119,1286,1042,968,3090,5,https://www.procyclingstats.com/rider/mathieu-van-der-poel
1,Jasper  Philipsen,Alpecin - Deceuninck,2 March 1998,Belgium,1.76,75.0,4627,569,5424,185,154,2278,3,https://www.procyclingstats.com/rider/jasper-philipsen
2,Søren Kragh Andersen,Alpecin - Deceuninck,10 August 1994,Denmark,1.78,73.0,1512,1406,390,422,1847,1390,303,https://www.procyclingstats.com/rider/soren-kragh-andersen
3,Silvan  Dillier,Alpecin - Deceuninck,3 August 1990,Switzerland,1.83,75.0,1231,942,209,296,526,530,1823,https://www.procyclingstats.com/rider/silvan-dillier
4,Kaden  Groves,Alpecin - Deceuninck,23 December 1998,Australia,1.76,76.0,421,246,1321,150,357,1664,36,https://www.procyclingstats.com/rider/kaden-groves
5,Xandro  Meurisse,Alpecin - Deceuninck,31 January 1992,Belgium,1.81,71.0,1149,1375,171,758,148,985,174,https://www.procyclingstats.com/rider/xandro-meurisse
6,Gianni  Vermeersch,Alpecin - Deceuninck,19 November 1992,Belgium,1.73,68.0,1704,263,706,198,55,788,148,https://www.procyclingstats.com/rider/gianni-vermeersch
7,Quinten  Hermans,Alpecin - Deceuninck,29 July 1995,Belgium,1.74,62.0,782,652,174,534,89,1186,137,https://www.procyclingstats.com/rider/quinten-hermans
8,Ramon  Sinkeldam,Alpecin - Deceuninck,9 February 1989,Netherlands,1.93,77.0,898,578,164,1,72,90,1207,https://www.procyclingstats.com/rider/ramon-sinkeldam
9,Oscar  Riesebeek,Alpecin - Deceuninck,23 December 1992,Netherlands,1.91,78.0,600,466,235,150,108,286,0,https://www.procyclingstats.com/rider/oscar-riesebeek
10,Michael  Gogl,Alpecin - Deceuninck,4 November 1993,Austria,1.86,71.0,583,486,34,292,76,364,718,https://www.procyclingstats.com/rider/michael-gogl
11,Jonas  Rickaert,Alpecin - Deceuninck,7 February 1994,Belgium,1.87,88.0,783,193,584,2,120,70,1369,https://www.procyclingstats.com/rider/jonas-rickaert
12,Nicola  Conci,Alpecin - Deceuninck,5 January 1997,Italy,1.85,68.0,309,565,9,532,9,360,458,https://www.procyclingstats.com/rider/nicola-conci
13,Jimmy  Janssens,Alpecin - Deceuninck,30 May 1989,Belgium,1.83,74.0,414,361,126,184,141,220,1531,https://www.procyclingstats.com/rider/jimmy-janssens
14,Axel  Laurance,Alpecin - Deceuninck,13 April 2001,France,1.79,66.0,366,260,108,208,42,642,208,https://www.procyclingstats.com/rider/axel-laurance
