Name,Team,Nationality,Length,Weight,Age,AVG,FLT,COB,HLL,MTN,SPR,ITT,GC,OR
Michael Gogl,Alpecin-Deceuninck,Austria,186,71,31,50,39,46,53,31,36,27,38,55
Quinten Hermans,Alpecin-Deceuninck,Belgium,174,62,29,81,67,72,86,44,67,28,44,87
Edward Planckaert,Alpecin-Deceuninck,Belgium,178,71,29,63,54,67,44,32,62,20,40,64
Silvan Dillier,Alpecin-Deceuninck,Switzerland,183,75,34,58,48,61,49,35,51,28,40,63
Robbe Ghys,Alpecin-Deceuninck,Belgium,182,72,28,53,44,42,36,23,61,20,35,52
Jasper Philipsen,Alpecin-Deceuninck,Belgium,176,75,26,96,96,94,86,32,99,36,55,97
Oscar Riesebeek,Alpecin-Deceuninck,Netherlands,191,78,32,54,47,60,46,24,37,30,36,52
Luca Vergallito,Alpecin-Deceuninck,Italy,190,67,27,55,31,20,59,45,31,20,47,46
Samuel Gaze,Alpecin-Deceuninck,New-Zealand,189,80,29,37,32,31,34,23,35,20,25,36
Kaden Groves,Alpecin-Deceuninck,Australia,176,76,26,85,83,61,73,40,92,23,41,79
Jimmy Janssens,Alpecin-Deceuninck,Belgium,183,74,35,47,37,20,51,29,37,30,39,43
Stan Van Tricht,Alpecin-Deceuninck,Belgium,174,64,25,72,63,73,72,23,58,24,29,85
Juri Hollmann,Alpecin-Deceuninck,Germany,184,70,25,47,38,43,48,41,43,33,37,53
Tobias Bayer,Alpecin-Deceuninck,Austria,187,71,25,55,46,34,58,30,53,33,39,61
Johan Price-Pejtersen,Alpecin-Deceuninck,Denmark,196,77,25,62,55,20,30,23,25,76,31,44
Timo Kielich,Alpecin-Deceuninck,Belgium,185,73,25,75,70,80,64,24,61,20,33,80
Fabio Van den Bossche,Alpecin-Deceuninck,Belgium,176,63,24,49,41,39,50,24,47,25,36,58
Gianni Vermeersch,Alpecin-Deceuninck,Belgium,173,68,32,86,88,93,78,32,64,24,40,90
Jensen Plowright,Alpecin-Deceuninck,Australia,177,78,24,66,58,28,43,22,82,20,29,62
Simon Dehairs,Alpecin-Deceuninck,Belgium,192,82,23,68,63,45,41,25,79,20,26,76
Henri Uhlig,Alpecin-Deceuninck,Germany,181,71,23,58,52,35,56,28,64,20,34,62
Lars Boven,Alpecin-Deceuninck,Netherlands,172,62,23,55,48,52,51,25,55,27,31,61
Ramses Debruyne,Alpecin-Deceuninck,Belgium,179,66,22,45,40,34,48,24,39,20,25,53
Gal Glivar,Alpecin-Deceuninck,Slovenia,171,62,22,51,45,26,44,27,41,43,36,43
Emiel Verstrynge,Alpecin-Deceuninck,Belgium,190,70,22,46,42,49,43,39,32,20,31,47
Xandro Meurisse,Alpecin-Deceuninck,Belgium,181,71,32,73,56,43,84,39,48,37,45,84
Tibor Del Grosso,Alpecin-Deceuninck,Netherlands,190,0,21,53,51,42,54,26,47,27,32,61
Mathieu van der Poel,Alpecin-Deceuninck,Netherlands,184,75,30,97,97,99,93,39,90,70,53,98
Jonas Rickaert,Alpecin-Deceuninck,Belgium,187,88,30,58,54,49,38,26,65,24,33,60
Martin Tjøtta,ARKEA-B&B HOTELS,Norway,0,0,24,35,26,20,36,32,26,20,29,37
Mathis Le Berre,ARKEA-B&B HOTELS,France,176,68,23,61,48,58,62,43,53,20,39,70
Miles Scotson,ARKEA-B&B HOTELS,Australia,191,76,31,50,43,47,39,23,53,28,33,54
Embret Svestad-Bårdseng,ARKEA-B&B HOTELS,Norway,185,0,22,45,31,20,46,42,30,23,39,41
Clément Venturini,ARKEA-B&B HOTELS,France,165,60,31,77,64,33,83,36,73,20,44,90
Raúl García,ARKEA-B&B HOTELS,Spain,175,67,23,69,55,20,61,41,43,71,56,58
Giosue Epis,ARKEA-B&B HOTELS,Italy,169,64,22,40,40,38,34,22,41,20,26,42
Ewen Costiou,ARKEA-B&B HOTELS,France,176,64,22,66,52,20,70,47,52,37,57,70
Louis Rouland,ARKEA-B&B HOTELS,France,184,55,22,37,30,20,39,34,27,20,30,39
Arnaud Démare,ARKEA-B&B HOTELS,France,181,76,33,81,83,49,62,27,91,30,33,90
Florian Sénéchal,ARKEA-B&B HOTELS,France,179,77,31,71,66,74,59,24,67,26,36,74
Simon Guglielmi,ARKEA-B&B HOTELS,France,180,66,27,64,43,20,68,59,52,20,42,65
Pierre Thierry,ARKEA-B&B HOTELS,France,185,0,21,42,42,35,41,35,41,36,29,50
Thibault Guernalec,ARKEA-B&B HOTELS,France,185,71,27,66,56,20,43,27,40,77,45,57
Léandre Lozouet,ARKEA-B&B HOTELS,France,184,0,20,39,35,33,35,24,39,20,25,47
Elie Gesbert,ARKEA-B&B HOTELS,France,181,63,29,58,42,33,62,48,38,20,44,63
Alessandro Verre,ARKEA-B&B HOTELS,Italy,170,59,23,64,47,20,70,41,39,47,44,69
Jenthe Biermans,ARKEA-B&B HOTELS,Belgium,184,78,29,80,73,79,77,29,78,20,32,90
Cristian Rodriguez,ARKEA-B&B HOTELS,Spain,178,59,29,85,44,31,78,86,43,37,84,59
Amaury Capiot,ARKEA-B&B HOTELS,Belgium,186,69,31,81,71,67,66,32,87,25,32,85
Michel Ries,ARKEA-B&B HOTELS,Luxembourg,184,67,26,54,40,20,55,55,32,39,50,56
Kévin Vauquelin,ARKEA-B&B HOTELS,France,176,69,23,87,73,36,90,59,59,88,71,87
Donavan Grondin,ARKEA-B&B HOTELS,France,184,77,24,59,48,44,43,25,66,20,34,60
Luca Mozzato,ARKEA-B&B HOTELS,Italy,178,67,26,89,90,91,78,26,90,20,36,92
Laurens Huys,ARKEA-B&B HOTELS,Belgium,162,61,26,54,39,40,57,46,36,22,46,57
Anthony Delaplace,ARKEA-B&B HOTELS,France,181,65,35,60,49,31,64,38,50,35,41,70
Victor Guernalec,ARKEA-B&B HOTELS,France,0,0,24,28,24,20,27,24,24,20,28,24
Alberto Bruttomesso,Bahrain Victorious,Italy,179,0,21,48,41,39,39,22,53,20,28,40
Daniel Skerl,Bahrain Victorious,Italy,177,78,21,38,37,25,29,20,44,20,22,39
Lenny Martinez,Bahrain Victorious,France,168,52,21,88,59,20,90,89,43,64,75,89
Matej Mohoric,Bahrain Victorious,Slovenia,186,72,30,89,88,90,89,62,83,55,74,91
Vlad Van Mechelen,Bahrain Victorious,Belgium,183,0,20,42,42,37,39,23,40,32,30,43
Phil Bauhaus,Bahrain Victorious,Germany,184,71,30,78,80,29,55,22,93,20,32,64
